name,dist_short,color_wyne,color_yellow,color_vpale,color_pale,color_pgold,color_gold,color_ogold,color_fgold,color_bronze,color_pamber,color_amber,color_famber,color_red,color_sherry,nose_aroma,nose_peat,nose_sweet,nose_light,nose_fresh,nose_dry,nose_fruit,nose_grass,nose_sea,nose_sherry,nose_spicy,nose_rich,body_soft,body_med,body_full,body_round,body_smooth,body_light,body_firm,body_oily,pal_full,pal_dry,pal_sherry,pal_big,pal_light,pal_smooth,pal_clean,pal_fruit,pal_grass,pal_smoke,pal_sweet,pal_spice,pal_oil,pal_salt,pal_arome,fin_full,fin_dry,fin_warm,fin_big,fin_light,fin_smooth,fin_clean,fin_fruit,fin_grass,fin_smoke,fin_sweet,fin_spice,fin_oil,fin_salt,fin_arome,fin_ling,fin_long,fin_very,fin_quick,age,dist,score,pct,region,district,islay,midland,spey,east,west,north,lowland,campbell,islands,cluster_id,cluster_name,pc1,pc2
Aberfeldy,Aberfeldy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,nan,2.0,69.0,40.0,HIGH,MIDLAND,0,1,0,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.5672,0.5329
Aberlour,Aberlour,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12.0,4.0,83.0,43.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,1,Sherried & Sweet,0.5943,-1.1907
Ardberg,Ardberg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.0,4.0,85.0,40.0,ISLAY,SOUTH,1,0,0,0,0,0,0,0,0,4,Maritime Peat,0.1366,1.0237
Ardmore,Ardmore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,2.0,66.0,46.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,3,Herbal & Crisp,-0.3726,-0.286
Auchentoshan,Auchentosh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0,5.0,85.0,40.0,LOW,WEST,0,0,0,0,0,0,1,0,0,3,Herbal & Crisp,-1.1212,0.1194
Aultmore,Aultmore,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,3.0,75.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,3,Herbal & Crisp,-0.8068,0.3172
Balblair,Balblair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10.0,3.0,76.0,40.0,HIGH,NORTH,0,0,0,0,0,1,0,0,0,2,Light & Approachable,-0.9884,0.2474
Balmenach,Balmenach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,nan,3.0,69.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,1,Sherried & Sweet,-0.3205,-0.6096
Balvenie,Balvenie,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,nan,4.0,85.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.3393,-0.1736
Banff,Banff,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,nan,2.0,66.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.8242,0.4953
Ben Nevis,Ben Nevis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,1.0,55.0,40.0,HIGH,WEST,0,0,0,0,1,0,0,0,0,3,Herbal & Crisp,-0.8572,0.2513
Benriach,Benriach,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nan,3.0,69.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,-0.3944,0.051
Benrinnes,Benrinnes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nan,3.0,78.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.6544,0.0613
Benromach,Benromach,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,nan,3.0,75.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.5417,0.8207
Bladnoch,Bladnoch,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0,4.0,85.0,40.0,LOW,BORDERS,0,0,0,0,0,0,1,0,0,4,Maritime Peat,-1.1558,0.7505
Blair Athol,Blair Atho,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8.0,3.0,75.0,40.0,HIGH,MIDLAND,0,1,0,0,0,0,0,0,0,4,Maritime Peat,-0.5504,0.2412
Bowmore,Bowmore,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10.0,4.0,81.0,40.0,ISLAY,LOCH,1,0,0,0,0,0,0,0,0,4,Maritime Peat,-0.2154,1.2081
Brackla,Brackla,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,nan,3.0,77.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.7964,-0.3465
Bruichladdich,Bruichladd,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,76.0,40.0,ISLAY,LOCH,1,0,0,0,0,0,0,0,0,2,Light & Approachable,-0.6971,-0.0069
Bunnahabhain,Bunnahabha,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,3.0,77.0,40.0,ISLAY,NORTH,1,0,0,0,0,0,0,0,0,3,Herbal & Crisp,-1.0216,0.149
Caol Ila,Caol Ila,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.0,4.0,77.0,40.0,ISLAY,NORTH,1,0,0,0,0,0,0,0,0,4,Maritime Peat,-0.6026,1.5872
Caperdonich,Caperdonic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,nan,3.0,73.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.2186,0.4298
Cardhu,Cardhu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,12.0,3.0,72.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,2,Light & Approachable,-0.2418,0.2768
Clynelish,Clynelish,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12.0,4.0,81.0,40.0,HIGH,NORTH,0,0,0,0,0,1,0,0,0,4,Maritime Peat,-0.1302,0.793
Coleburn,Coleburn,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,nan,2.0,67.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,3,Herbal & Crisp,-0.7334,0.6981
Convalmore,Convalmore,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,nan,2.0,68.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,1.1801,-0.4614
Cragganmore,Cragganmor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.0,4.0,90.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,3,Herbal & Crisp,-1.2885,-0.7968
Craigellachie,Craigellac,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,3.0,72.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.6834,-0.0007
Dailuaine,Dailuaine,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,nan,3.0,74.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,1,Sherried & Sweet,0.4938,-0.6699
Dallas Dhu,Dallas Dhu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,nan,4.0,85.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.6003,-0.1036
Dalmore,Dalmore,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12.0,4.0,79.0,40.0,HIGH,NORTH,0,0,0,0,0,1,0,0,0,1,Sherried & Sweet,0.928,-0.6981
Dalwhinnie,Dalwhinnie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.0,3.0,76.0,43.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,-0.2221,1.2008
Deanston,Deanston,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,2.0,69.0,40.0,HIGH,MIDLAND,0,1,0,0,0,0,0,0,0,2,Light & Approachable,-0.8827,-0.6335
Dufftown,Dufftown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10.0,3.0,71.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.865,0.5873
Edradour,Edradour,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,4.0,81.0,40.0,HIGH,MIDLAND,0,1,0,0,0,0,0,0,0,1,Sherried & Sweet,-0.4656,-0.0975
Fettercairn,Fettercair,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.0,3.0,71.0,40.0,HIGH,EAST,0,0,0,1,0,0,0,0,0,2,Light & Approachable,-1.1622,-0.7544
Glen  Albyn,Glen  Alby,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,nan,2.0,67.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.5834,0.8734
Glenallachie,Glenallach,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,12.0,3.0,76.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,3,Herbal & Crisp,-0.9802,-0.3116
Glenburgie,Glenburgie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,nan,2.0,68.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,1,Sherried & Sweet,-1.3103,0.0859
Glencadam,Glencadam,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,2.0,68.0,40.0,HIGH,EAST,0,0,0,1,0,0,0,0,0,0,Classic Smoky-Sweet,0.378,0.3656
Glen Deveron,Glen Dever,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12.0,3.0,75.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,3,Herbal & Crisp,-0.4532,-1.3639
Glendronach,Glendronac,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,12.0,3.0,75.0,43.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,1,Sherried & Sweet,0.5618,-0.8708
Glendullan,Glendullan,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.0,3.0,75.0,43.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,1,Sherried & Sweet,0.1441,-1.7156
Glen Elgin,Glen Elgin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12.0,3.0,75.0,43.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.1903,0.1807
Glenesk,Glenesk,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12.0,3.0,66.0,40.0,HIGH,EAST,0,0,0,1,0,0,0,0,0,1,Sherried & Sweet,-0.0119,-0.9823
Glenfarclas,Glenfarcla,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10.0,4.0,86.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,1,Sherried & Sweet,0.128,-0.1941
Glenfiddich,Glenfiddic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nan,3.0,75.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,2,Light & Approachable,-0.5957,-0.637
Glen Garioch,Glen Gario,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10.0,4.0,77.0,43.0,HIGH,EAST,0,0,0,1,0,0,0,0,0,0,Classic Smoky-Sweet,0.7949,0.4779
Glenglassaugh,Glenglassa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,3.0,76.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,3,Herbal & Crisp,-1.6681,-0.0942
Glengoyne,Glengoyne,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10.0,3.0,74.0,40.0,HIGH,WEST,0,0,0,0,1,0,0,0,0,0,Classic Smoky-Sweet,0.0635,-0.6111
Glen Grant,Glen Grant,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.0,4.0,76.0,43.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.2681,-0.3674
Glen Keith,Glen Keith,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,nan,2.0,64.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.9238,0.3357
